ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,admin_id,mkt_id,cm_id
2017-12-12,99.31490344676838,98.53037214605502,98.58301842730995,99.29260473924754,99.34525160489399,-0.7622336362731986,-0.7622336362731986,-0.7622336362731986,-0.7622336362731986,-0.7622336362731986,-0.7622336362731986,0.0,0.0,0.0,98.55266981049519,1.0,266,0.0
2017-12-13,99.34906647253206,98.54044747971987,98.60427229717787,99.3226894664641,99.38651273313296,-0.7822416773268096,-0.7822416773268096,-0.7822416773268096,-0.7822416773268096,-0.7822416773268096,-0.7822416773268096,0.0,0.0,0.0,98.56682479520525,1.0,266,0.0
2017-12-14,99.3832294982957,98.52343447355723,98.60149210147871,99.35085592794282,99.42891171035815,-0.8274209682445302,-0.8274209682445302,-0.8274209682445302,-0.8274209682445302,-0.8274209682445302,-0.8274209682445302,0.0,0.0,0.0,98.55580853005118,1.0,266,0.0
2017-12-15,99.41739252405937,98.48441064104206,98.57555456040106,99.37778585543232,99.46892916054797,-0.8933740471561168,-0.8933740471561168,-0.8933740471561168,-0.8933740471561168,-0.8933740471561168,-0.8933740471561168,0.0,0.0,0.0,98.52401847690325,1.0,266,0.0
2017-12-16,99.45155554982301,98.43161836186084,98.53892914343722,99.40657769597304,99.5138869489185,-0.9749594495705642,-0.9749594495705642,-0.9749594495705642,-0.9749594495705642,-0.9749594495705642,-0.9749594495705642,0.0,0.0,0.0,98.47659610025245,1.0,266,0.0
2017-12-17,99.48571857558666,98.36881705544329,98.48998640219868,99.43526055269155,99.55643204931127,-1.0664434767166753,-1.0664434767166753,-1.0664434767166753,-1.0664434767166753,-1.0664434767166753,-1.0664434767166753,0.0,0.0,0.0,98.41927509886999,1.0,266,0.0
2017-12-18,99.51988160135033,98.30106399690723,98.43842373307794,99.46273523580884,99.60009499408686,-1.1616709994753982,-1.1616709994753982,-1.1616709994753982,-1.1616709994753982,-1.1616709994753982,-1.1616709994753982,0.0,0.0,0.0,98.35821060187493,1.0,266,0.0
2017-12-19,99.55404462711398,98.23466989844273,98.3888868778602,99.48892049315674,99.64313765638462,-1.254250220997789,-1.254250220997789,-1.254250220997789,-1.254250220997789,-1.254250220997789,-1.254250220997789,0.0,0.0,0.0,98.29979440611619,1.0,266,0.0
2017-12-20,99.58820765287764,98.17763983271514,98.3488991030559,99.51538579952609,99.68664520060908,-1.3377458890778056,-1.3377458890778056,-1.3377458890778056,-1.3377458890778056,-1.3377458890778056,-1.3377458890778056,0.0,0.0,0.0,98.25046176379983,1.0,266,0.0
2017-12-21,99.62237067864132,98.13667662123339,98.32422829301254,99.54255281425172,99.73010484806875,-1.4058751815375778,-1.4058751815375778,-1.4058751815375778,-1.4058751815375778,-1.4058751815375778,-1.4058751815375778,0.0,0.0,0.0,98.21649549710374,1.0,266,0.0
2017-12-22,99.65653370440496,98.11815109147464,98.3202143319442,99.57084989791694,99.77291288350196,-1.4527003923990076,-1.4527003923990076,-1.4527003923990076,-1.4527003923990076,-1.4527003923990076,-1.4527003923990076,0.0,0.0,0.0,98.20383331200595,1.0,266,0.0
2017-12-23,99.69069673016861,98.12657848193412,98.34190450588677,99.59939102991315,99.81471566097301,-1.472812626619414,-1.472812626619414,-1.472812626619414,-1.472812626619414,-1.472812626619414,-1.472812626619414,0.0,0.0,0.0,98.2178841035492,1.0,266,0.0
2017-12-24,99.72485975593229,98.165839729561,98.39347653531755,99.62734138743666,99.85497828631411,-1.4615009643575543,-1.4615009643575543,-1.4615009643575543,-1.4615009643575543,-1.4615009643575543,-1.4615009643575543,0.0,0.0,0.0,98.26335879157473,1.0,266,0.0
2017-12-25,99.75902278169592,98.23765119466702,98.48362088785748,99.65255275375455,99.89852365699521,-1.414901974854898,-1.414901974854898,-1.414901974854898,-1.414901974854898,-1.414901974854898,-1.414901974854898,0.0,0.0,0.0,98.34412080684102,1.0,266,0.0
2017-12-26,99.7931858074596,98.35005089047331,98.60973928722294,99.68017534731595,99.93986437492217,-1.3301250326973546,-1.3301250326973546,-1.3301250326973546,-1.3301250326973546,-1.3301250326973546,-1.3301250326973546,0.0,0.0,0.0,98.46306077476224,1.0,266,0.0
2017-12-27,99.82734883322324,98.50154312569596,98.77871064886314,99.70689288841844,99.98406061761207,-1.2053495986118834,-1.2053495986118834,-1.2053495986118834,-1.2053495986118834,-1.2053495986118834,-1.2053495986118834,0.0,0.0,0.0,98.62199923461135,1.0,266,0.0
2017-12-28,99.86151185898689,98.69293150848848,98.98998884235586,99.73282451844155,100.02987898688347,-1.0398914520571845,-1.0398914520571845,-1.0398914520571845,-1.0398914520571845,-1.0398914520571845,-1.0398914520571845,0.0,0.0,0.0,98.8216204069297,1.0,266,0.0
2017-12-29,99.89567488475056,98.9243884467268,99.24132473969262,99.75862319954037,100.07556126412578,-0.8342357792462072,-0.8342357792462072,-0.8342357792462072,-0.8342357792462072,-0.8342357792462072,-0.8342357792462072,0.0,0.0,0.0,99.06143910550435,1.0,266,0.0
2017-12-30,99.92983791051421,99.19435624322988,99.53270827455681,99.78439218070658,100.12274476528088,-0.5900360006794859,-0.5900360006794859,-0.5900360006794859,-0.5900360006794859,-0.5900360006794859,-0.5900360006794859,0.0,0.0,0.0,99.33980190983472,1.0,266,0.0
2017-12-31,99.96400093627787,99.49463030965809,99.85578081632427,99.80470969862806,100.1658593673528,-0.31007823769276016,-0.31007823769276016,-0.31007823769276016,-0.31007823769276016,-0.31007823769276016,-0.31007823769276016,0.0,0.0,0.0,99.6539226985851,1.0,266,0.0
